component	path	dx	dy	w	h
AI Assistant	0.0	1058	20	30	30
AI Assistant	0.1	0	60	1108	1020
AI Gradient component	0	0	0	408	408
AI Gradient component	1	74	73	261	261
AI Gradient component	2	114	171	179	66
Bar chart with axis	0	0	0	326	179
Bar chart with axis	1	44	-1	277	222
Configuration	0	0	189	1600	620
Configuration	1	0	0	1600	189
Configuration	1.0.0.0	11	0	175	149
Configuration	1.0.0.1	138	33	46	46
Configuration	1.0.0.2	46	34	105	105
Configuration	1.0.0.3	46	34	105	105
Configuration	1.0.0.4	72	74	8	16
Configuration	1.0.0.5	72	74	8	16
Configuration	1.0.0.6	44	34	105	105
Configuration	1.0.0.7	95	114	13	15
Configuration	1.0.0.8	138	33	46	46
Configuration	1.0.0.9	137	33	46	46
Configuration	1.0.0.10	113	98	10	7
Configuration	1.0.0.11	76	93	38	17
Configuration	1.0.0.12	76	93	38	17
Configuration	1.0.0.13	77	99	33	26
Configuration	1.0.0.14	107	123	10	6
Configuration	1.0.0.15	86	80	13	16
Configuration	1.0.0.16	86	89	10	7
Configuration	1.0.0.17	86	89	10	7
Configuration	1.0.0.18	90	89	5	5
Configuration	1.0.0.19	95	77	9	16
Configuration	1.0.0.20	72	75	7	13
Configuration	1.0.0.21	70	84	13	24
Configuration	1.0.0.22	70	90	12	17
Configuration	1.0.0.23	67	73	10	18
Configuration	1.0.0.24	70	88	9	12
Configuration	1.0.0.25	75	93	20	7
Configuration	1.0.0.26	67	75	7	16
Configuration	1.0.0.27	95	77	9	17
Configuration	1.0.0.28	95	77	9	17
Configuration	1.0.0.29	89	91	3	2
Data variance alternative	2.0	1	0	12	15
Donut pie chart	0	0	0	200	200
Donut pie chart	1	0	0	200	200
Donut pie chart	2	48	59	104	82
Donut pie chart	3	100	0	0	25
Donut pie chart	4	7	133	23	11
Full page	0	0	0	90	1080
Full page	1	90	174	1830	906
Full page	2	90	0	1830	130
Hemisphere chart	0.0	0	0	200	18
Hemisphere chart	1.0	0	0	200	200
Hemisphere chart	1.1	0	0	200	200
Hemisphere chart	1.2	93	74	14	33
Hemisphere chart	2.0	0	0	8	18
Hemisphere chart	2.1	176	0	23	18
Image picker	0	0	197	440	46
Image picker	0.0.0	3	3	30	30
Image picker	0.1.0	3	3	30	30
Image picker	1	128	18	184	184
Image picker	1.0	0	0	184	184
Image picker	1.1	115	61	0	0
Image picker	1.2	31	31	123	123
Image picker	1.3	31	79	92	43
Image picker	1.4	107	95	46	20
Menu	0.0	7	7	36	36
People	0	0	0	91	91
Profile image	0	0	0	93	93
Profile image	1	0	0	93	93
Search navigation	0	0	0	150	32
Search navigation	0.0	36	5	115	22
Search navigation	0.1	7	5	22	22
Waffle	0	29	27	32	32
