component	size	padding	radius	gap	font	layout	notes	nodeId
Button	auto x 32	0 20	20	10	13px SemiBold	HORIZONTAL CENTER CENTER	PILL. Leading icon on every variant. Icon-only variant is 32x32 circle.	1656:44983
Button (icon only)	32 x 32	0 20	20	10	—		perfect circle	
Links (primary)	auto x 22	0	0	5	16px, ls -1%		underline on hover	
Links (secondary)	auto x 18	0	0	5	13px			
Filter chip	auto x 42	10 20	76	5	16px, ls -1%	HORIZONTAL CENTER CENTER	PILL. Selected uses SemiBold, gap 10.	8433:85634
Filter chip (mobile)	auto x 34	8 15	76	5	13px		PILL	
Tags	auto x 28	5 10	4	5	13px Regular	HORIZONTAL CENTER CENTER	SENTENCE CASE, not uppercase	18415:5426
Field	300 x 42	10 10 10 20	8	10	16px	HORIZONTAL CENTER MAX	the input box itself. Placeholder text is italic, the value is not. 4 variants (Right aligned x Filled). Figma has a second, unrelated component also called Field.	18846:28925
Primary search	auto x 38	0 10	20	10	13px	HORIZONTAL CENTER MIN	PILL	6584:66405
Option (dropdown row)	auto x 26	2 10 2 20	4	5	16px		tick icon 14x14	
Text area	auto x 213	—	8	5	16px	VERTICAL MIN MIN	inner frame r8	13740:47785
Message box	auto x 138	15	8	10	16px	VERTICAL MIN MIN		26895:77316
Toggle	55 x 25	0 7 0 2	13	0	13px	HORIZONTAL CENTER SPACE_BETWEEN	PILL; knob inset	2816:1369
Checkbox / radio box	20 x 20	—	4	—	—		r4 even for radio in this system	
Checkbox/Radio item (row)	auto x 22	0	0	10	16px			
Radio card / Radio tile	235 x 152	25 0	4	10	16px SemiBold			
Table header (AG)	auto x 54	15	0	47	13px SemiBold	HORIZONTAL CENTER SPACE_BETWEEN		27719:2335
Table cell (AG)	auto x 58	10 15	0	10	13px	HORIZONTAL CENTER MIN	rows are TALL	27719:3034
Table (AG) container	—	0	8	0	13px SemiBold			
Table card (AG)	—	20	8	20	16px SemiBold	VERTICAL CENTER MIN		27744:18741
Multi-select checkbox	20 x 20	0	4	0	—	NONE		9040:87456
Table header icons	24 x 24	10	4	10	—	HORIZONTAL CENTER CENTER		30772:33402
Selected action banner	auto x 48	8 20	8	—	16px	HORIZONTAL CENTER SPACE_BETWEEN		23862:16596
AG sort item	auto x 52	16 20	0	20	13px	HORIZONTAL CENTER MIN		30792:46426
AG Filter menus	208 x 252	16	4	20	12px	VERTICAL CENTER MIN		30782:46404
Card	auto	20	8	20	20px title	VERTICAL CENTER MIN	shadow 0 0 4px	5726:69614
Content cards	auto	20	8	20	16px	VERTICAL MIN MIN		20755:32197
Settings card	auto	20	8	10	13px SemiBold	VERTICAL MIN MIN	shadow 0 1 3px	6033:65712
Configuration tile	auto x 260	40 20	8	10	24px	VERTICAL CENTER CENTER	shadow 0 0 4px	7063:83776
Draggable card	auto x 50	10 15	8	20	16px	HORIZONTAL CENTER MIN		19979:2091
Accordion	auto x 84	20	8	—	20px	HORIZONTAL CENTER SPACE_BETWEEN		16812:1710
Side panel	375 wide	0	mixed	0	20px	VERTICAL MIN MIN	shadow 0 0 4px	13909:5302
Side panel header	auto x 60	10 15	0	10	20px	HORIZONTAL CENTER MAX		18222:8378
Sticky footer	auto x 52	10 15	0	20	13px SemiBold	HORIZONTAL CENTER MIN		20184:1662
Org chart node	293 x 48	0	8	0	16px		shadow 2 2 4px	
Layout container	auto	30	0	20	20px			
Title panel	auto x 135	40 20	0	10	18px	VERTICAL CENTER CENTER		5050:63097
Empty section	auto x 212			35	20px SemiBold	HORIZONTAL CENTER MIN		19552:92722
Notification card	auto x 113	15 20	8	15	13px SemiBold	HORIZONTAL CENTER MIN		13846:5504
Toast message	350 x 114	30 0 30 25	4	15	13px Regular	HORIZONTAL CENTER MIN	fixed light surface — see dark-mode note. TYPE IS A 10px LEFT ACCENT BAR, not a stroke: Success Border/Positive, Info Border/Info, Warning Border/Warning, Error Base colours/Red. The fill/stroke/text model cannot express it — recording it as a stroke would generate border-color and draw a full border — so all four types currently render identically	8213:79219
Information box (row)	auto x 56	0	0	0	13px			
Confirmation modal	400 x 413	60 10	8	36	24px Regular	VERTICAL CENTER MIN		5217:64300
Next actions modal	400 x 565	0 0 30 0	8	30	24px Regular	VERTICAL CENTER MIN		30115:781
Status dot	22 x 22	0	100	0	—		circle	
Notification image	44 x 44				—	NONE		3435:66874
Navigation item	90 x 86	0	0	22	13px SemiBold	HORIZONTAL CENTER CENTER	rail item, icon above label	13658:8027
Side navigation	90 wide	0	0	0	13px	VERTICAL MIN MIN	collapsed rail	13658:7757
Notification tabs	268 x 48	10 15	8	20	16px	HORIZONTAL CENTER MIN		22973:20747
Side navigation panel	268 x 416	10	0	5	16px	VERTICAL MIN MIN		22973:20811
Tab	40 x 34	6 0	0	10	16px	VERTICAL CENTER MIN		13658:7879
Navigation tabs	auto x 36	0	0	40	16px SemiBold	HORIZONTAL CENTER MIN		23086:8084
Tertiary nav	auto x 43	4 368	0	40	16px SemiBold	HORIZONTAL CENTER CENTER		13658:7900
Nav tabs	80 x 40	0 20	mixed	10	16px			13658:7817
Header	auto x 86	0	0	0	16px	VERTICAL MIN MIN		13658:7653
Mobile bottom navigation	375 x 76	0	0	0	11px	HORIZONTAL MIN MIN		13658:7742
Clock in	107 x 32	7 20 7 10	20	5	16px	HORIZONTAL CENTER CENTER	PILL	13658:8019
Filter tab single	224 x 100	20	0	5	24px Regular	VERTICAL MIN CENTER		23069:23190
Top bar app context	242 x 66	0	0	0	24px	HORIZONTAL MIN MIN		13658:7955
Metric card	392 x 89	20	8	165	36px		big-number tile	8206:79577
Bar chart	415 x 193	0	0	10	13px			6188:65918
Bar chart with axis	326 x 221	0	0	0	13px Regular			7667:71127
Donut pie chart	200 x 200	0	0	0	60px Medium		centre figure is 60px	8135:78219
Donut chart with ledger	329 x 200	0	0	21	60px			8135:79063
Hemisphere chart	200 x 146	0	0	5	13px			16537:3845
Graph legend	auto x 33	0	0	5	24px Regular			8117:78197
Graph axis	492 x 232	0	0	10	13px			7658:72461
Square progress bar	177 x 34	0	0	10	13px			10239:114074
Table progress bar	246 x 14	0	0	5	13px			43:261
Percentage bar	343 x 37	0	0	5	13px			18093:998
Data variance	41 x 45	0	0	0	13px			8206:79398
Profile image	93 x 93		47	0	—		CIRCLE	141:142
People (avatar)	91 x 91	0	0	0	—			
People (row)	380 x 40	0	0	10	16px			
People (card)	166 x 91	0	0	0	13px			
AI card modal	440 x 505	20	8	10	20px	VERTICAL MIN MIN		22814:16588
AI button	146 x 32	3 15 3 10	55	10	13px Regular	HORIZONTAL CENTER CENTER	Figma binds RAW HEXES here, not variables: the Light mode border is #007ff3 and the desktop Inverted fill is a bare white while the MOBILE variant of the same fill uses Base colours/White. The Hover fill is a linear-gradient (the AI gradient style). None of the three can be recorded as a token, so the shipped class has no border and no hover fill. Figma also labels the pink DEPRECATED COLOURS/Default theme pink (A)	22814:16542
AI banner	auto x 94	20	8	10	20px	HORIZONTAL MIN MIN		25225:6175
Clickable AI element	382 x 38	10 10 10 20	8	10	13px	HORIZONTAL CENTER MIN		26970:14559
AI message bubble	455 x 149	0	0	5	12px	VERTICAL MIN MIN		27295:378
Form field	564 x auto	0	0	5	16px	VERTICAL MIN MIN	WRAPPER: label + input + helper text. 40 variants (Input type x State) - Text, Dropdown, Search, Date picker, Time picker x Default, Disabled, Error, Selected	13737:25863
Required field	auto x auto	0	0	8	16px	HORIZONTAL CENTER MIN	the asterisk marker	14921:25589
Field label	152 x auto	0	0	42	16px	HORIZONTAL CENTER SPACE_BETWEEN	label sits above its input, 5px gap	607:8116
Field icons	auto x auto	0	0	5	—	HORIZONTAL CENTER MIN	2 variants	30523:18706
Option	250 x auto	2 10 2 20	4	5	16px	HORIZONTAL CENTER MIN	dropdown list row. 2 variants	3479:69375
Browser drop down	440 x auto	5	8	5	16px	VERTICAL MIN MIN		3479:69358
Inline search	400 x auto	0	0	6	16px	VERTICAL MIN MIN	2 variants	8478:86031
People and department drop down	440 x auto	10 5 10 10	0	10	16px	HORIZONTAL MIN CENTER		24963:15286
Multiselect tag	auto x auto	0	4	0	13px	HORIZONTAL CENTER MIN	the removable tag inside a multiselect	25959:29138
[S] Text area	300 x 240	0	8	5	16px	VERTICAL MIN MIN	small variant	607:90038
Signature	auto x auto	0	0	0	16px	VERTICAL MIN MIN		8136:78299
Text template format editor	440 x auto	0	0	5	16px	VERTICAL MIN MIN	2 variants	5322:65728
[S] Post content	520 x auto	0 20 10 73	0	2	20px	VERTICAL MIN MIN	73px left padding leaves room for an avatar	2977:43756
Map	480 x 200	—	8	—	—	NONE	not auto-layout	1337:35965
Calendar picker	auto x auto	0	0	0	16px	VERTICAL MIN MIN		17411:5842
Time picker	auto x auto	0	0	0	16px	VERTICAL MIN MIN		17411:5843
Field (second component)	auto x auto	0	0	2	13px	VERTICAL MIN MIN	Figma has two components named Field on the Forms page; this is the smaller one	
Radio tile	235 x auto	25 0	4	10	16px SemiBold	VERTICAL CENTER MIN	2 variants	26746:17352
Radio card	235 x 152	25 0	4	10	16px SemiBold	VERTICAL CENTER MIN	4 variants	30573:16933
Control	20 x 20	10	4	10	—	VERTICAL CENTER CENTER	the checkbox/radio box itself, 20x20 r4. 2 variants	30641:14910
Checkbox/Radio item	auto x 22	0	0	10	16px	HORIZONTAL CENTER MIN	box + label, 10px gap. 18 variants	30643:20637
Checkbox/Radio list	194 x auto	0	0	5	16px	VERTICAL MIN MIN	5px between items. 4 variants	30644:37303
Date picker period	auto x auto	0	0	10	20px	HORIZONTAL CENTER CENTER		13717:57349
Date range visual	371 x auto	0	0	20	16px	HORIZONTAL CENTER MIN		8478:85639
Image picker	440 x 220	—	0	—	—	NONE	not auto-layout	10306:112952
Slider	600 x auto	0	0	20	13px	VERTICAL MIN CENTER		14948:93064
Document previewer	375 x 642	0	0	0	16px	VERTICAL MIN MIN	3 variants	27479:15917
Attachments	440 x auto				13px SemiBold	HORIZONTAL MIN MIN		5235:64884
Attachment with person	440 x auto		8		13px	VERTICAL CENTER MIN		5235:65181
Note	440 x auto		8		13px	VERTICAL CENTER MIN		5235:65705
Editable list card	auto x auto		4		13px	HORIZONTAL MIN MIN		5127:69366
Org chart	293 x auto		8		16px	HORIZONTAL CENTER MIN		6237:66512
Configuration panel	1600 x auto		mixed		20px	VERTICAL CENTER MIN		7064:68025
Side filter	400 x 885		mixed		20px	VERTICAL CENTER MIN		9374:93485
Spotlight Card	375 x auto	0 0 10 0	8	10	13px	VERTICAL MIN MIN		26820:17383
Details	355 x auto			10	13px	HORIZONTAL MIN MIN		30638:22248
Switcher	auto x auto			10	16px	HORIZONTAL CENTER MIN		27561:5474
Layout container (magazine style)	1600 x auto	30		20	20px	VERTICAL MIN MIN		16370:9151
Layout container title	1160 x auto			464	20px	HORIZONTAL CENTER SPACE_BETWEEN		16418:9936
Layout container tabs	1160 x auto			204	16px SemiBold	HORIZONTAL CENTER SPACE_BETWEEN		16418:10087
single layout card	800 x auto	30		20	20px	VERTICAL CENTER MIN		20787:9281
50/50 layout container	1600 x auto				20px	HORIZONTAL MIN MIN		28405:3050
[S] Attachment	440 x auto	10 20	8		13px SemiBold	HORIZONTAL CENTER MIN		1455:40546
Footer	375 x auto	0 10		10	13px Regular	VERTICAL MIN MIN		30637:15576
Content	375 x auto			10	13px	VERTICAL MIN MIN		30637:15470
Detail item	162 x auto			5	13px	HORIZONTAL MIN MIN		30637:16556
Config child menu	auto x auto				16px	VERTICAL MIN MIN		958:30289
Config menu items	auto x auto				16px	VERTICAL MIN MIN		958:30298
Config parent menu	auto x auto	5 20 5 0		5	16px	HORIZONTAL CENTER MIN		4931:63962
Header navigation	1834 x auto				16px	VERTICAL MIN MIN		13658:7772
Secondary nav	947 x 44				16px SemiBold	HORIZONTAL MAX CENTER		13658:7842
Search navigation	150 x 32				16px			13658:8009
Full page	1920 x 1080				13px	HORIZONTAL MIN MIN		13658:8240
Filter tabs	1600 x auto				24px SemiBold	HORIZONTAL MIN MIN		23069:23560
Config side menu	325 x 980		8		16px	VERTICAL MIN MIN		5942:65619
[S] Config child menu	auto x auto	10 0 0 11		10	16px	VERTICAL MIN MIN		930:30367
Counter	20 x 20	0 4	38	10	11px SemiBold	VERTICAL CENTER CENTER		14990:11954
Links	auto x auto			5	16px	HORIZONTAL CENTER MIN		9707:98838
Add attachment	440 x auto			20	13px SemiBold	VERTICAL CENTER MIN		4174:71096
Action menu button	auto x auto				16px	HORIZONTAL CENTER CENTER		5308:64681
Tool tip	auto x auto	10	4		13px	VERTICAL MIN MIN		5322:66068
Drop down button	192 x auto	7 10 7 20	48		13px Regular	HORIZONTAL CENTER MIN		22421:5021
Repeating group	auto x auto			20	16px Italic	VERTICAL MIN MIN		
Action menu	199 x auto	4 5	4		13px	VERTICAL MIN MIN		5308:64663
Manage columns	520 x auto				20px	VERTICAL MIN MIN		20798:19026
Footer (AG)	1560 x auto				13px	VERTICAL MIN MIN		27725:51239
Table action bar	1654 x auto			20	16px SemiBold	VERTICAL MIN CENTER		27742:15071
AG field	140 x 43	2 4	8	10	12px	VERTICAL CENTER CENTER		30794:46519
Table (AG)	1705 x auto		8		13px SemiBold	VERTICAL MIN MIN		27737:49017
Status	22 x 22		100				Status type=Custom binds a RAW HEX (#3e3e3e, a DEPRECATED COLOURS style), not a variable, so it cannot be recorded; Status type=New social group binds no fill at all. Both are real Figma variants absent from this extract for that reason	3435:66939
Information box	440 x 56	10 10 10 4	8	10	13px Regular	HORIZONTAL CENTER MIN		3341:64984
Star rating	auto x auto				13px	VERTICAL CENTER CENTER		30806:31238
AI Assistant	1628 x auto				20px	HORIZONTAL CENTER SPACE_BETWEEN	RE-READ 2026-09-11: Base colours/Default Pink is bound NOWHERE in this component any more, yet the capture records it as the text colour for Type=Default and Type=Active chat — those two rows are STALE. Today it binds Text/Primary, Text/Secondary and Text/Link. Its stroke has moved Border/Default -> Border/Default full, which is unextracted, so the rows were left rather than half-corrected. It also carries 11 raw #007ff3 borders with no variable behind them	27507:11696
Adaptive card	478 x auto			5	12px	VERTICAL MIN MIN		27309:772
AI Gradient component	408 x 408				24px SemiBold			27295:318
Configuration	1600 x 809		8		24px			13717:37944
Form	355 x auto	20 10	8	30	18px	VERTICAL CENTER MIN		13717:37949
Menu-search-settings	1920 x 1080	20		30	24px	VERTICAL CENTER MIN		829:31644
Bar	29 x 90			5	13px	VERTICAL CENTER MIN		7649:71538
Data variance alternative	auto x auto			5	20px	HORIZONTAL CENTER MIN		828:31772
[S] People	380 x auto			10	16px	HORIZONTAL CENTER CENTER		10682:112860
Text template format editor 	440 x auto			5	16px	VERTICAL MIN MIN		5322:65728
