component	path	type	name	hidden	of
[S] Config child menu	0.0	VECTOR	Vector	1	1
Accordion	0.1.0	INSTANCE	Home	2	4
Accordion	0.1.1	INSTANCE	Button	2	2
Accordion	0.1.2	INSTANCE	Tick in circle	2	2
Accordion	1.0	INSTANCE	Tags	2	2
Accordion	1.1	INSTANCE	Button	2	2
Accordion	1.2	INSTANCE	Tick in circle	2	2
AG field	0	FRAME	Field	1	2
AG field	0.2	INSTANCE	Calendar	1	1
AG field	3	INSTANCE	Calendar	1	1
AG Filter menus	0.0	FRAME	Field	1	3
AI Assistant	0.0	INSTANCE	Minimize	4	6
AI banner	0.1.0	INSTANCE	Warning	2	2
Button	1	TEXT	Action	3	21
Button	2	INSTANCE	Add plus	12	12
Card	0.1	LINE	Line 14	1	1
Checkbox/Radio item	1.1	FRAME	Frame 86765	18	18
Checkbox/Radio item	2	INSTANCE	Tooltip question	18	18
Checkbox/Radio list	2	SLOT	Radio slot	4	4
Confirmation modal	0.0.1.1	INSTANCE	Icon viewport/Icon_Template	1	1
Confirmation modal	0.2.1	INSTANCE	Button	1	3
Content	0	SLOT	Slot	1	1
Content	1.1	INSTANCE	Details	1	1
Content	1.2	INSTANCE	Tags	1	1
Content	1.3	INSTANCE	Table progress bar	1	1
Content	1.4	INSTANCE	Links	1	1
Control	0	INSTANCE	Tick	2	2
Control	1	VECTOR	Mixed selector (Stroke)	1	1
Details	1	SLOT	Slot	2	2
Draggable card	0	INSTANCE	Right chevron	4	4
Draggable card	1	INSTANCE	Plus circle	4	4
Draggable card	2	INSTANCE	Control button	4	4
Field label	0.1	ELLIPSE	Ellipse 1	1	1
Field label	1	INSTANCE	Tooltip question	1	1
Field	0	TEXT	Placeholder	2	5
Field	2	FRAME	Selector	2	4
Field	3	FRAME	Selector	2	2
Footer (AG)	0.0.1	TEXT	: 	2	2
Footer (AG)	1	FRAME	Grid-Parts/Pagination	2	2
Footer (AG)	1.0.0.2	TEXT	20	1	2
Footer (AG)	1.1.2	INSTANCE	Icon-Left	1	1
Footer	0.0.1	INSTANCE	Tags	1	1
Footer	1	SLOT	Slot	1	1
Header navigation	2	INSTANCE	Tertiary nav	3	3
Header	1	FRAME	SC logo	15	32
Header	2.0	INSTANCE	Top bar app context	15	32
Header	2.0.0	INSTANCE	top bar app icon	1	19
Header	2.1.0	INSTANCE	top bar app icon	15	30
Inline search	1.0.1	INSTANCE	User tags/No	1	1
Inline search	1.0.2	INSTANCE	User tags/No	1	1
Inline search	1.0.3	INSTANCE	User tags/No	1	1
Inline search	1.0.4	INSTANCE	User tags/No	1	1
Inline search	1.0.5	INSTANCE	User tags/No	1	1
Manage columns	2	INSTANCE	Sticky footer	1	2
Manage columns	3	INSTANCE	Side panel footer	1	2
Message box	0	TEXT	Type here...	1	1
Multi-select checkbox	1	INSTANCE	Small tick (AG)	2	2
Multiselect tag	1	INSTANCE	People	1	1
Multiselect tag	2.1	TEXT	Tag text	1	1
Navigation item	1	RECTANGLE	Highlighted tab	8	10
Navigation item	2	INSTANCE	Header	2	2
Notification card	0	INSTANCE	Notification image	1	2
Notification card	1.2	TEXT	10:03	1	1
Notification card	3.0.0.2	TEXT	10:03	1	1
Notification categories	3	INSTANCE	Sticky footer	1	1
Notification list	0.0.0.2	INSTANCE	Tooltip question	1	1
Option	1	INSTANCE	Tick	2	2
Org chart	0.0.0	FRAME	Icon	2	3
Org chart	0.0.1	FRAME	Avatar	1	3
Org chart	0.0.2.1	TEXT	Role	1	3
Org chart	0.1	FRAME	Department	1	2
Pagination buttons	0	FRAME	Container	1	1
Radio card	2	FRAME	Selector	2	4
Radio tile	2	FRAME	Selector	1	1
Repeating group	0	FRAME	Context	1	1
Repeating group	4	FRAME	Aprovers	1	1
Side navigation	0.0	INSTANCE	App menu	1	3
Side panel header	3	INSTANCE	Context menu	1	1
Side panel header	4	INSTANCE	Switcher	1	1
single layout card	3	INSTANCE	Empty section	2	2
Spotlight Card	0.2	INSTANCE	Floaters	3	3
Star rating	1	TEXT	Currently you are	18	18
Star rating	2	TEXT	Rating label	18	18
Status	0	INSTANCE	Like thumbs up	1	6
Status	2	INSTANCE	People	1	1
Status	3	FRAME	Number value	1	1
Sticky footer	2	INSTANCE	Button	2	2
Sticky footer	3	INSTANCE	Context menu	2	2
Table action bar	1.0.1	FRAME	Refreshed	1	2
Table action bar	1.0.1.0	TEXT	Category title	1	2
Table action bar	1.0.1.1	TEXT	Category title	2	2
Table action bar	1.0.1.2	TEXT	Category title	1	1
Table action bar	1.1	FRAME	Actions	1	2
Table action bar	1.1.0	INSTANCE	Button	1	2
Table card (AG)	1	INSTANCE	Selected action banner	2	2
Table cell (AG)	0.0	INSTANCE	Profile image	3	3
Table cell (AG)	0.1	INSTANCE	Home	3	3
Table cell (AG)	0.2	INSTANCE	Links	3	3
Table cell (AG)	0.3	INSTANCE	Tags	3	3
Table cell (AG)	0.4	INSTANCE	Toggle	3	3
Table cell (AG)	0.5	INSTANCE	Table progress bar	3	3
Table cell (AG)	0.6	TEXT	Blank	3	3
Table cell (AG)	0.7	FRAME	Radio icon	3	3
Table cell (AG)	0.9	FRAME	List	3	3
Table cell (AG)	0.10	TEXT	Cell label	1	1
Table cell (AG)	1	INSTANCE	Context menu	3	3
Table cell (AG)	2	TEXT	Cell label	2	2
Table header (AG)	0.0	TEXT	Header	1	2
Table header (AG)	1.1	INSTANCE	Table header icons	1	2
Table header (AG)	1.2	INSTANCE	Sort arrow (AG Grid)	1	1
Tags	0	INSTANCE	Information	14	14
Tags	2	INSTANCE	Information	14	14
