component	path	type	node	fill	stroke	variants	nvals
AI Assistant	1.0.0	FRAME	1	1	1	5	2
AI Assistant	1.1.1	INSTANCE	1	1	1	5	2
AI Assistant	1.1.1.1	FRAME	1	0.05	1	3	2
AI Assistant	1.2.1	FRAME	1	1	1	2	2
AI card modal		COMPONENT	1	0.05	1	1	1
AI Gradient component	0	ELLIPSE	1	0.2	1	3	1
AI message bubble	1	FRAME	1	0.05	1	2	2
Button		COMPONENT	1	1	1	36	3
Clickable AI element		COMPONENT	1	1	1	2	2
Configuration panel	0.0.0.0	VECTOR	0.05	1	1	1	1
Configuration panel	0.0.0.3	GROUP	0.19	1	1	1	1
Configuration panel	0.0.0.5	VECTOR	0.19	1	1	1	1
Configuration panel	0.0.0.7	VECTOR	0.19	1	1	1	1
Configuration panel	0.0.0.8	GROUP	0.27	1	1	1	1
Configuration panel	0.0.0.12	VECTOR	0.19	1	1	1	1
Configuration panel	0.0.0.22	VECTOR	0.19	1	1	1	1
Configuration panel	0.0.0.26	VECTOR	0.1	1	1	1	1
Confirmation modal	0.0.1	VECTOR	1	1	1	5	2
Confirmation modal	0.2	FRAME	1	1	1	3	2
Empty section	0.0.0	GROUP	0.3	1	1	2	1
Empty section	0.0.2	GROUP	0.03	1	1	2	1
Empty section	0.0.6	GROUP	0.08	1	1	2	1
Empty section	0.0.8	GROUP	0.49	1	1	2	1
Empty section	0.0.9	GROUP	0.49	1	1	2	1
Empty section	0.0.10	GROUP	0.49	1	1	2	1
Empty section	0.1.5	GROUP	0.08	1	1	2	1
Empty section	0.1.7	GROUP	0.2	1	1	2	1
Empty section	0.1.11	GROUP	0.2	1	1	2	1
Empty section	0.1.12	GROUP	0.08	1	1	2	1
Empty section	0.1.13	GROUP	0.08	1	1	2	1
Full page	2.0.1	INSTANCE	1	0.9	1	3	2
Header navigation	0.1	INSTANCE	1	0.9	1	3	2
Header	1	FRAME	1	1	1	32	3
Header	1.0.0.0	ELLIPSE	0.3	1	1	3	2
Header	2.0.0.0	ELLIPSE	0.3	1	1	17	2
Header	2.1.0.0	ELLIPSE	0.3	1	1	15	1
Mobile key actions	0	INSTANCE	1	0.31	1	6	4
People		COMPONENT	1	1	1	330	2
People	0.0	VECTOR	1	1	1	303	2
People	0.0.0	RECTANGLE	1	1	1	300	2
Repeating group	4.0.1	FRAME	1	0.03	1	1	1
Search navigation		COMPONENT	1	0.9	1	2	2
single layout card	3.0.0.0	GROUP	0.3	1	1	1	1
single layout card	3.0.0.2	GROUP	0.03	1	1	1	1
single layout card	3.0.0.6	GROUP	0.08	1	1	1	1
single layout card	3.0.0.8	GROUP	0.49	1	1	1	1
single layout card	3.0.0.9	GROUP	0.49	1	1	1	1
single layout card	3.0.0.10	GROUP	0.49	1	1	1	1
single layout card	3.0.1.5	GROUP	0.08	1	1	1	1
single layout card	3.0.1.7	GROUP	0.2	1	1	1	1
single layout card	3.0.1.11	GROUP	0.2	1	1	1	1
single layout card	3.0.1.12	GROUP	0.08	1	1	1	1
single layout card	3.0.1.13	GROUP	0.08	1	1	1	1
Slider	1.5.0	ELLIPSE	0.4	1	1	1	1
Status	0.0	VECTOR	1	1	1	5	2
Status	0.1	ELLIPSE	0.7	1	1	1	1
Status	0.2	ELLIPSE	0.7	1	1	1	1
Status	3	FRAME	1	0.7	1	1	1
Stepper	0.0.0.0	RECTANGLE	0	1	1	2	1
Stepper	0.2.0.2	RECTANGLE	0	1	1	2	1
Steps	0.0	RECTANGLE	1	1	1	26	2
Steps	0.2	RECTANGLE	1	1	1	26	2
Top bar app context	0.0	ELLIPSE	0.3	1	1	36	1
