component	path	type	name	main	variant	size	layout	padding	gap	radius	fill	stroke	textStyle	font	text
AG Filter menus		COMPONENT	Variant=Multi & search, State=Default			208x252	VERTICAL CENTER MIN	16 16 16 16	20	4	Filter menu/Background	Filter menu/Border			
AG Filter menus	0	INSTANCE	AG field	AG field	State=Selected	176x43	VERTICAL CENTER CENTER	2 4 2 4	10	8		Icons/Icon - Primary			
AG Filter menus	1	FRAME	Checklist			160x80	VERTICAL MIN MIN	0 0 0 0	10	0					
AG Filter menus	1.0	FRAME	Checkbox/radio			160x20	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
AG Filter menus	1.1	SLOT	Checklist content			160x50	VERTICAL MIN MIN	0 0 0 0	10	0					
AG field		COMPONENT	State=Selected			140x43	VERTICAL CENTER CENTER	2 4 2 4	10	8		Icons/Icon - Primary			
AG field	0	FRAME	Field			132x36	HORIZONTAL CENTER MIN	10 4 10 8	6	4	Background/Primary	Icons/Icon - Theme			
AG field	0.0	INSTANCE	Search	Search		12x12	NONE			0					
AG field	0.1	FRAME	Text area			102x16	NONE			0					
AG field	0.2	INSTANCE	Calendar	Calendar		28x28	NONE			0					
AG sort item		COMPONENT	State=Default			199x52	HORIZONTAL CENTER MIN	16 20 16 20	20	0					
AG sort item	0	INSTANCE	Up arrow	Up arrow		20x20	NONE			0					
AG sort item	1	TEXT	Sort Ascending			91x18	NONE			0	Text/Primary		Desktop text/Label text	13px	Sort Ascending
AI Assistant		COMPONENT	Mobile=False, Darkmode=False, Type=Expanded			1628x1080	HORIZONTAL CENTER SPACE_BETWEEN	0 0 0 0	0	0	Background/Primary				
AI Assistant	0	FRAME	Main content			1108x1080	NONE			0					
AI Assistant	0.0	INSTANCE	Minimize	Minimize		30x30	NONE			0					
AI Assistant	0.1	SLOT	Slot			1108x1020	HORIZONTAL CENTER CENTER	20 20 20 20	10	0					
AI Assistant	1	INSTANCE	AI Assistant side panel	AI Assistant side panel	Darkmode=False, Type=Chat	520x1080	VERTICAL CENTER MIN	0 0 0 0	0	0		Border/Default full			
AI Gradient component		COMPONENT	Property 1=Frame 62710147			408x408	NONE			0					
AI Gradient component	0	ELLIPSE	Ellipse 10807			408x408	NONE			0	GRADIENT				
AI Gradient component	1	ELLIPSE	Ellipse 10808			261x261	NONE			0	Background/Primary				
AI Gradient component	2	TEXT	How can I help you today?			179x66	NONE			0	Text/Primary			24px SemiBold	How can I he
AI banner		COMPONENT	Darkmode=True, mobile=False			1315x94	HORIZONTAL MIN MIN	20 20 20 20	10	8	Background/Primary	GRADIENT			
AI banner	0	FRAME	Container			1071x54	VERTICAL MIN MIN	0 0 0 0	5	0					
AI banner	0.0	FRAME	AI Header			1071x27	HORIZONTAL CENTER SPACE_BETWEEN	0 0 0 0	15	0					
AI banner	0.1	FRAME	AI Information			1071x22	HORIZONTAL CENTER MIN	0 0 0 35	10	0					
AI banner	1	FRAME	Button container			194x32	HORIZONTAL CENTER MAX	0 0 0 0	20	0					
AI banner	1.0	INSTANCE	AI button	AI button	Style=Light mode, Hover=False, Mobile=False	146x32	HORIZONTAL CENTER CENTER	3 15 3 10	10	55		GRADIENT			
AI banner	1.1	INSTANCE	Close x cancel	Close x cancel		28x28	NONE			0					
AI button		COMPONENT	Style=Light mode, Hover=False, Mobile=False			146x32	HORIZONTAL CENTER CENTER	3 15 3 10	10	55		GRADIENT			
AI button	0	INSTANCE	AI Sparkles	AI Sparkles		22x22	NONE			0					
AI button	1	TEXT	AI button label			89x18	NONE			0	Text/Primary			13px Regular	AI button la
AI card modal		COMPONENT	Property 1=Default			440x505	VERTICAL MIN MIN	20 20 20 20	10	8	GRADIENT	GRADIENT			
AI card modal	0	FRAME	Header			400x28	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
AI card modal	0.0	INSTANCE	AI Sparkles	AI Sparkles		24x24	NONE			0					
AI card modal	0.1	TEXT	Heading			328x27	NONE			0	Text/Primary		Desktop text/Sub heading	20px	Heading
AI card modal	0.2	INSTANCE	Close x cancel	Close x cancel		28x28	NONE			0					
AI card modal	1	SLOT	Slot			400x427	NONE			0					
AI message bubble		COMPONENT	Type=AI chat			455x149	VERTICAL MIN MIN	0 0 0 0	5	0					
AI message bubble	0	TEXT	8:26 AM			46x16	NONE			0	Text/Secondary			12px	8:26 AM
AI message bubble	1	FRAME	Frame 62710141			455x128	VERTICAL MIN MIN	20 20 20 20	10	8	Background/Primary	GRADIENT			
AI message bubble	1.0	TEXT	AI chat bubble Lorem ipsum dolor sit amet consectetur. Nisl mauris felis sit arcu morbi pharetra. Condimentum dolor felis pellentesque feugiat sagittis id quisque.			415x88	NONE			0	Text/Primary		Desktop text/Body text	16px	AI chat bubb
Action menu button		COMPONENT	Circle=false			60x28	HORIZONTAL CENTER CENTER	0 0 0 0	0	0					
Action menu button	0	TEXT	Text			32x22	NONE			0	Text/Primary		Desktop text/Body text	16px	Text
Action menu button	1	INSTANCE	Context	Context		28x28	NONE			0					
Action menu		COMPONENT	Action menu			199x136	VERTICAL MIN MIN	4 5 4 5	0	4	Background/Primary				
Action menu	0	SLOT	Options			189x128	VERTICAL CENTER MIN	0 0 0 0	0	0					
Action menu	0.0	FRAME	Option			189x32	VERTICAL CENTER MIN	7 0 7 0	7	0		Border/Default full			
Action menu	0.1	FRAME	Option			189x32	VERTICAL CENTER MIN	7 0 7 0	7	0		Border/Default full			
Action menu	0.2	FRAME	Option			189x32	VERTICAL CENTER MIN	7 0 7 0	7	0		Border/Default full			
Action menu	0.3	FRAME	Option			189x32	VERTICAL CENTER MIN	7 0 7 0	7	0					
Action menu	1	RECTANGLE	Rectangle 32819			14x14	NONE			0	Background/Primary				
Adaptive card		COMPONENT	Mobile=False			478x389	VERTICAL MIN MIN	0 0 0 0	5	0					
Adaptive card	0	TEXT	8:26 AM			46x16	NONE			0	Text/Secondary			12px	8:26 AM
Adaptive card	1	FRAME	Adaptive card base/False/False			478x368	VERTICAL MIN MIN	20 20 20 20	20	8	Background/Primary	GRADIENT			
Adaptive card	1.0	FRAME	Frame 2018776636			438x328	VERTICAL MIN MIN	0 0 0 0	20	0					
Add attachment		COMPONENT	Property 1=Default			440x466	VERTICAL CENTER MIN	0 0 0 0	20	0					
Add attachment	0	FRAME	Frame 82618			440x184	VERTICAL CENTER MIN	0 0 0 0	10	0					
Add attachment	0.0	FRAME	Frame 82619			440x32	HORIZONTAL MIN MIN	0 0 0 0	10	0					
Add attachment	0.1	FRAME	Frame 83382			440x142	VERTICAL CENTER MIN	30 20 30 20	10	8		Border/Tertiary			
Add attachment	1	INSTANCE	Attachment with person	Attachment with person	Property 1=Default	440x112	VERTICAL CENTER MIN	0 0 0 0	0	8		Border/Default full			
Add attachment	2	INSTANCE	Note	Note	Property 1=Default	440x130	VERTICAL CENTER MIN	0 0 0 0	0	8		Border/Default full			
Attachment with person		COMPONENT	Property 1=Default			440x112	VERTICAL CENTER MIN	0 0 0 0	0	8		Border/Default full			
Attachment with person	0	FRAME	Frame 82615			440x56	HORIZONTAL CENTER MIN	10 20 10 20	10	0					
Attachment with person	0.0	INSTANCE	People	People	Who?=CEO - Nolan George	28x28	NONE			0					
Attachment with person	0.1	FRAME	Frame 80206			220x36	VERTICAL MIN CENTER	0 0 0 0	0	0					
Attachment with person	1	FRAME	Frame 82616			440x0	VERTICAL CENTER CENTER	0 20 0 20	0	0					
Attachment with person	1.0	LINE	Line 2762			400x0	NONE			0		Border/Secondary			
Attachment with person	2	INSTANCE	Attachments	Attachments	Actions=Context menu	440x56	HORIZONTAL MIN MIN	0 0 0 0	0	0					
Attachments		COMPONENT	Actions=Remove			440x56	HORIZONTAL MIN MIN	0 0 0 0	0	0					
Attachments	0	INSTANCE	[S] Attachment	[S] Attachment		440x56	HORIZONTAL CENTER MIN	10 20 10 20	0	8		Border/Default full			
Bar chart with axis		COMPONENT	Breakpoint=Mobile, Darkmode=False			326x221	NONE			0					
Bar chart with axis	0	INSTANCE	Graph axis	Graph axis	Breakpoint=Mobile	326x179	HORIZONTAL MIN MIN	0 0 0 0	10	0					
Bar chart with axis	1	INSTANCE	Bar chart	Bar chart	Breakpoint=Mobile, Darkmode=False	277x222	HORIZONTAL MAX MIN	0 0 0 0	5	0					
Bar chart		COMPONENT	Breakpoint=Desktop, Darkmode=False			415x193	HORIZONTAL MAX MIN	0 0 0 0	10	0					
Bar chart	0	INSTANCE	Bar	Bar	Label=Horizontal	25x118	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	1	INSTANCE	Bar	Bar	Label=Horizontal	25x193	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	2	INSTANCE	Bar	Bar	Label=Horizontal	25x160	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	3	INSTANCE	Bar	Bar	Label=Horizontal	25x153	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	4	INSTANCE	Bar	Bar	Label=Horizontal	25x134	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	5	INSTANCE	Bar	Bar	Label=Horizontal	25x108	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	6	INSTANCE	Bar	Bar	Label=Horizontal	25x125	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	7	INSTANCE	Bar	Bar	Label=Horizontal	25x76	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	8	INSTANCE	Bar	Bar	Label=Horizontal	25x94	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	9	INSTANCE	Bar	Bar	Label=Horizontal	25x58	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	10	INSTANCE	Bar	Bar	Label=Horizontal	25x118	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar chart	11	INSTANCE	Bar	Bar	Label=Horizontal	25x125	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar		COMPONENT	Label=Horizontal			29x90	VERTICAL CENTER MIN	0 0 0 0	5	0					
Bar	0	RECTANGLE	Data line			29x67	NONE			mixed	Charts/Chart 1				
Bar	1	TEXT	Label			33x18	NONE			0	Text/Primary		Desktop text/Label text	13px	Label
Browser drop down		COMPONENT	Browser drop down			440x222	VERTICAL MIN MIN	5 5 5 5	5	8	Background/Secondary				
Browser drop down	0	SLOT	Slot			430x212	VERTICAL MIN MIN	0 0 0 0	5	0					
Browser drop down	0.0	INSTANCE	Option	Option	Selected=Yes	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4	LITERAL				
Browser drop down	0.1	INSTANCE	Option	Option	Selected=No	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4					
Browser drop down	0.2	INSTANCE	Option	Option	Selected=No	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4					
Browser drop down	0.3	INSTANCE	Option	Option	Selected=No	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4					
Browser drop down	0.4	INSTANCE	Option	Option	Selected=No	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4					
Browser drop down	0.5	INSTANCE	Option	Option	Selected=No	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4					
Browser drop down	0.6	INSTANCE	Option	Option	Selected=No	430x26	HORIZONTAL CENTER MIN	2 10 2 20	5	4					
Button		COMPONENT	Type=Action, State=Default, Label=Yes			107x32	HORIZONTAL CENTER CENTER	0 20 0 20	10	20	Background/Secondary Button				
Button	0	INSTANCE	Add plus	Add plus		16x16	NONE			0					
Button	1	TEXT	Action			41x18	NONE			0	Text/Inverted primary			13px SemiBold	Action
Button	2	INSTANCE	Add plus	Add plus		16x16	NONE			0					
Calendar picker		COMPONENT	Calendar picker			298x323	VERTICAL MIN MIN	0 0 0 0	0	0					
Calendar picker	0	FRAME	Calendar picker			298x323	VERTICAL MIN MIN	0 0 0 0	0	4					
Calendar picker	0.0	FRAME	Frame 85552			298x42	HORIZONTAL CENTER SPACE_BETWEEN	10 15 10 15	64	mixed	Base colours/Blue Charade				
Calendar picker	0.1	FRAME	Frame 85560			298x26	HORIZONTAL MIN MIN	0 0 0 0	0	0					
Calendar picker	0.2	FRAME	Frame 85563			298x207	VERTICAL MIN MIN	0 0 0 0	0	0					
Calendar picker	0.3	FRAME	Frame 85566			298x48	HORIZONTAL MIN SPACE_BETWEEN	8 9 8 9	116	mixed	Background/Tertiary				
Card		COMPONENT	Property 1=Default			520x358	VERTICAL CENTER MIN	20 20 20 20	20	8	Background/Primary	Border/Default full			
Card	0	FRAME	Card title & top [S]			480x28	VERTICAL MIN CENTER	0 0 0 0	10	mixed					
Card	0.0	FRAME	Frame 80088			480x28	HORIZONTAL CENTER SPACE_BETWEEN	0 0 0 0	13	0					
Card	0.1	LINE	Line 14			480x0	NONE			0		Base colours/Default Pink			
Card	1	SLOT	Slot			480x270	HORIZONTAL MIN MIN	10 10 10 10	10	0					
Checkbox/Radio item		COMPONENT	State=Default, Radio=No, Filled=No			81x22	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
Checkbox/Radio item	0	INSTANCE	Control	Control	Radio=No	20x20	VERTICAL CENTER CENTER	10 10 10 10	10	4	Background/Primary	Icons/Icon - Disabled			
Checkbox/Radio item	1	FRAME	Label			51x22	HORIZONTAL CENTER MIN	0 0 0 0	5	0					
Checkbox/Radio item	1.0	TEXT	Option			51x22	NONE			0	Text/Primary		Desktop text/Body text	16px	Option
Checkbox/Radio item	1.1	FRAME	Frame 86765			6x22	HORIZONTAL MIN MIN	0 0 0 0	10	0					
Checkbox/Radio item	2	INSTANCE	Tooltip question	Tooltip question		18x18	NONE			0					
Checkbox/Radio list		COMPONENT	State=Default			194x81	VERTICAL MIN MIN	0 0 0 0	5	0					
Checkbox/Radio list	0	INSTANCE	Field label	Field label		194x22	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
Checkbox/Radio list	1	SLOT	Checkbox slot			194x54	VERTICAL MIN MIN	0 0 0 0	10	0					
Checkbox/Radio list	1.0	INSTANCE	Checkbox/Radio item	Checkbox/Radio item	State=Default, Radio=No, Filled=Yes	194x22	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
Checkbox/Radio list	1.1	INSTANCE	Checkbox/Radio item	Checkbox/Radio item	State=Default, Radio=No, Filled=No	194x22	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
Checkbox/Radio list	2	SLOT	Radio slot			194x54	VERTICAL MIN MIN	0 0 0 0	10	0					
Checkbox/Radio list	2.0	INSTANCE	Checkbox/Radio item	Checkbox/Radio item	State=Default, Radio=Yes, Filled=Yes	194x22	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
Checkbox/Radio list	2.1	INSTANCE	Checkbox/Radio item	Checkbox/Radio item	State=Default, Radio=Yes, Filled=No	194x22	HORIZONTAL CENTER MIN	0 0 0 0	10	0					
Clickable AI element		COMPONENT	State=default			382x38	HORIZONTAL CENTER MIN	10 10 10 20	10	8		GRADIENT			
Clickable AI element	0	TEXT	What can I ask the AI Assistant?			352x18	NONE			0	Text/Primary		Desktop text/Label text	13px	What can I a
Clock in		COMPONENT	Type=Standard, Darkmode=False			107x32	HORIZONTAL CENTER CENTER	7 20 7 10	5	20		Border/Default full			
Clock in	0	INSTANCE	Clock	Clock		22x22	NONE			0					
Clock in	1	TEXT	Clock-in			58x22	NONE			0	Text/Inverted primary		Desktop text/Body text	16px	Clock-in
Config child menu		COMPONENT	Type=Child			381x42	VERTICAL MIN MIN	0 0 0 0	0	0					
Config child menu	0	INSTANCE	[S] Config child menu	[S] Config child menu		381x42	VERTICAL MIN MIN	10 0 0 11	10	0					
Config menu items		COMPONENT	Kind=Child			381x74	VERTICAL MIN MIN	0 0 0 0	0	0					
