component	variant	boundStyle	size	weight	letterSpacing	textCase
50/50 layout container	Row colour=false, Mobile=false	Desktop text/Sub heading	20		0%	ORIGINAL
50/50 layout container	Row colour=false, Mobile=true	Mobile text/Sub heading	18		0%	ORIGINAL
AG Filter menus	Variant=Date, State=Default	Desktop text/Body text	16		-1%	ORIGINAL
AG Filter menus	Variant=Multi & search, State=Default		12		2%	ORIGINAL
AG Filter menus	Variant=Sort, State=Default	Desktop text/Label text	13		0%	ORIGINAL
AG field	State=Selected		12		2%	ORIGINAL
AG sort item	State=Default	Desktop text/Label text	13		0%	ORIGINAL
AI Assistant	Mobile=False, Darkmode=False, Type=Default		24	SemiBold	0%	ORIGINAL
AI Assistant	Mobile=False, Darkmode=False, Type=Expanded	Desktop text/Sub heading	20		0%	ORIGINAL
AI Assistant	Mobile=True, Darkmode=False, Type=Expanded	Desktop text/Body text	16		-1%	ORIGINAL
AI Gradient component	Property 1=Frame 62710147		24	SemiBold	0%	ORIGINAL
AI banner	Darkmode=True, mobile=False	Desktop text/Sub heading	20		0%	ORIGINAL
AI button	Style=Inverted, Hover=False, Mobile=False		13		0%	ORIGINAL
AI button	Style=Light mode, Hover=False, Mobile=False		13	Regular	0%	ORIGINAL
AI card modal	Property 1=Default	Desktop text/Sub heading	20		0%	ORIGINAL
AI message bubble	Type=AI chat		12		0%	ORIGINAL
Accordion	Expanded=False, Mobile=False	Desktop text/Sub heading	20		0%	ORIGINAL
Accordion	Expanded=False, Mobile=True	Mobile text/Sub heading	18		0%	ORIGINAL
Action menu		Desktop text/Label text	13		0%	ORIGINAL
Action menu button	Circle=false	Desktop text/Body text	16		-1%	ORIGINAL
Adaptive card	Mobile=False		12		0%	ORIGINAL
Add attachment	Property 1=Default		13	SemiBold	0%	ORIGINAL
Attachment with person	Property 1=Default	Desktop text/Label text	13		0%	ORIGINAL
Attachments	Actions=Remove	Desktop text/Label text (semi bold, 600)	13	SemiBold	0%	ORIGINAL
Bar	Label=Horizontal	Desktop text/Label text	13		0%	ORIGINAL
Bar chart	Breakpoint=Desktop, Darkmode=False	Desktop text/Label text	13		0%	ORIGINAL
Bar chart with axis	Breakpoint=Desktop, Darkmode=False	Desktop text/Label text	13		0%	ORIGINAL
Bar chart with axis	Breakpoint=Mobile, Darkmode=False		13	Regular	-1%	UPPER
Browser drop down			16		-2%	ORIGINAL
Button	Type=Action, State=Default, Label=Yes		13	SemiBold	0%	ORIGINAL
Calendar picker		EXTERNAL	16		-1%	ORIGINAL
Card	Property 1=Default	Desktop text/Sub heading	20		0%	ORIGINAL
Checkbox/Radio item	State=Default, Radio=No, Filled=No	Desktop text/Body text	16		-1%	ORIGINAL
Checkbox/Radio list	State=Default	Desktop text/Body text	16		-1%	ORIGINAL
Clickable AI element	State=default	Desktop text/Label text	13		0%	ORIGINAL
Clock in	Type=Standard, Darkmode=False	Desktop text/Body text	16		-1%	ORIGINAL
Component 1	Property 1=Frame 6270952	Desktop text/Sub heading	20		0%	ORIGINAL
Config child menu	Type=Child		16		-1%	ORIGINAL
Config menu items	Kind=Child		16		0%	UPPER
Config parent menu	open=false		16		0%	UPPER
Config side menu			16		0%	UPPER
Configuration	Mobile=False	Desktop text/Large heading (light)	24		0%	ORIGINAL
Configuration panel	Property 1=Default	Desktop text/Sub heading	20		0%	ORIGINAL
Configuration tile	Device=Desktop	Desktop text/Large heading (light)	24		0%	ORIGINAL
Confirmation modal	Mobile=false, Type=Confirmation, Dark mode=False	Desktop text/Large heading	24	Regular	0%	ORIGINAL
Content		Desktop text/Label text	13		0%	ORIGINAL
Content cards	Mobile=false	Desktop text/Body text	16		-1%	ORIGINAL
Data variance	Data change=Up, Mobile=False	Desktop text/Label text	13		0%	ORIGINAL
Data variance alternative	Property 1=Default		20		0%	ORIGINAL
Date picker period	Type=Date	Desktop text/Sub heading	20		0%	ORIGINAL
Date range visual	Property 1=Default	Desktop text/Body text	16		-1%	ORIGINAL
Detail item		Desktop text/Label text	13		0%	ORIGINAL
Details	Layout=Horizontal	Desktop text/Label text	13		0%	ORIGINAL
Document previewer	Device=Mobile	Desktop text/Body text	16		-1%	ORIGINAL
Donut chart with ledger	Darkmode=False, Mobile=False		60		0%	ORIGINAL
Donut pie chart	Segments=2, Icon=False		60	Medium	0%	ORIGINAL
Donut pie chart	Segments=4, Icon=False		60		0%	ORIGINAL
Draggable card	State=Default	Desktop text/Body text	16		-1%	ORIGINAL
Drop down button	Hover=False		13	Regular	-1%	ORIGINAL
Editable list card	Property 1=Default	Desktop text/Label text	13		0%	ORIGINAL
Empty section	Mobile=False	Desktop text/Sub heading (semi bold, 600)	20	SemiBold	0%	ORIGINAL
Empty section	Mobile=True	Mobile text/Sub heading (bold)	18	SemiBold	0%	ORIGINAL
Field	Property 1=Default	Desktop text/Label text	13		0%	ORIGINAL
Field	Right aligned=No, Filled=No	Desktop text/Body text (italic)	16	Italic	-1%	ORIGINAL
Field	Right aligned=No, Filled=Yes	Desktop text/Body text	16		-1%	ORIGINAL
Field label		Desktop text/Body text	16		-1%	ORIGINAL
