page	component	variant	fill	stroke	text	nodeId
Buttons and links	Button	Type=Action, State=Default	Background/Secondary Button		Text/Inverted primary	1656:44983
Buttons and links	Button	Type=Action, State=Hover	Background/Secondary Button Hover		Text/Inverted primary	1656:44983
Buttons and links	Button	Type=Positive, State=Default	Background/Primary Button		Base colours/White	1656:44983
Buttons and links	Button	Type=Positive, State=Hover	Background/Primary Button Hover		Base colours/White	1656:44983
Buttons and links	Button	Type=Negative, State=Default	Background/Negative Button		Base colours/White	1656:44983
Buttons and links	Button	Type=Negative, State=Hover	Background/Negative Button Hover		Base colours/White	1656:44983
Buttons and links	Button	Type=Hollow, State=Default		Border/Hollow Button	Text/Primary	1656:44983
Buttons and links	Button	Type=Hollow, State=Hover	Buttons/Fills/Hollow hover	Border/Hollow Button	Text/Primary	1656:44983
Buttons and links	Button	Type=Filter, State=Default		Border/Hollow Button	Text/Primary	1656:44983
Buttons and links	Button	Type=Filter, State=Hover	Buttons/Fills/Hollow hover	Border/Hollow Button	Text/Primary	1656:44983
Buttons and links	Button	Type=Sort, State=Default		Border/Hollow Button	Text/Primary	1656:44983
Buttons and links	Button	Type=Sort, State=Hover	Buttons/Fills/Hollow hover	Border/Hollow Button	Text/Primary	1656:44983
Buttons and links	Links	Link type=Primary, Hover=False			Text/Link	9707:98838
Buttons and links	Links	Link type=Primary, Hover=True			Text/Link	9707:98838
Buttons and links	Links	Link type=Secondary, Hover=False			Text/Link	9707:98838
Buttons and links	Links	Link type=Secondary, Hover=True			Text/Link	9707:98838
Buttons and links	Filter chip	State=Default, Active=False	Background/Primary	Border/Hollow Button	Text/Primary	8433:85634
Buttons and links	Filter chip	State=Selected, Active=True	Background/Primary	Border/Theme	Text/Theme	8433:85634
Buttons and links	Filter chip	State=Hover, Active=False	Background/Theme	Border/Theme	Text/Theme	8433:85634
Forms	Form field	Input type=Text, State=Default			Text/Primary	13737:25863
Forms	Form field	Input type=Text, State=Disabled			Text/Primary	13737:25863
Forms	Form field	Input type=Text, State=Error			Text/Negative	13737:25863
Forms	Form field	Input type=Text, State=Selected			Text/Link	13737:25863
Forms	Form field	Input type=Dropdown, State=Default			Text/Primary	13737:25863
Forms	Form field	Input type=Dropdown, State=Disabled			Text/Primary	13737:25863
Forms	Form field	Input type=Dropdown, State=Error			Text/Negative	13737:25863
Forms	Form field	Input type=Dropdown, State=Selected			Text/Link	13737:25863
Forms	Form field	Input type=Search, State=Default			Text/Primary	13737:25863
Forms	Form field	Input type=Search, State=Disabled			Text/Primary	13737:25863
Forms	Form field	Input type=Search, State=Error			Text/Negative	13737:25863
Forms	Form field	Input type=Search, State=Selected			Text/Link	13737:25863
Forms	Form field	Input type=Date picker, State=Default			Text/Primary	13737:25863
Forms	Form field	Input type=Time picker, State=Default			Text/Primary	13737:25863
Forms	Field	Right aligned=No, Filled=No	Background/Primary	Border/Form input	Text/Secondary	13737:25495
Forms	Field	Right aligned=No, Filled=Yes	Background/Primary	Border/Form input	Text/Primary	13737:25495
Forms	Text area	Type=Standard			Text/Primary	13740:47785
Forms	Text area	Type=Read only			Text/Primary	13740:47785
Forms	Text area	Type=Disabled			Text/Primary	13740:47785
Forms	Text area	Type=Error			Text/Negative	13740:47785
Forms	Option	Selected=No			Text/Primary	3479:69375
Forms	Option	Selected=Yes			Text/Inverted primary	3479:69375
Forms	Inline search	Filled=False			Text/Primary	8478:86031
Forms	Inline search	Filled=True			Text/Primary	8478:86031
Forms	Primary search	Darkmode=False, Icon only=False	Background/Primary	Border/Secondary	Text/Secondary	6584:66405
Forms	Message box	Property 1=Default	Background/Primary	Border/Form input	Text/Secondary	26895:77316
Controls	Toggle	On=No, Locked=No	Background/Tertiary	Base colours/Grey Dolphin	Text/Secondary	2816:1369
Controls	Toggle	On=Yes, Locked=No	Background/Primary Button		Base colours/White	2816:1369
Controls	Toggle	On=No, Locked=Yes	Background/Tertiary	Base colours/Grey Dolphin		2816:1369
Controls	Toggle	On=Yes, Locked=Yes	Background/Primary Button			2816:1369
Controls	Radio tile	State=Default	Background/Primary	Border/Default	Text/Primary	26746:17352
Controls	Radio tile	State=Hover	Background/Theme	Border/Theme	Text/Theme	26746:17352
Controls	Radio card	State=Enabled, Selected=No	Background/Primary	Border/Default	Text/Primary	30573:16933
Controls	Radio card	State=Enabled, Selected=Yes	Background/Theme	Border/Theme	Text/Theme	30573:16933
Controls	Radio card	State=Disabled, Selected=No	Background/Tertiary	Border/Disabled	Text/Disabled	30573:16933
Controls	Radio card	State=Disabled, Selected=Yes	Background/Tertiary	Border/Disabled	Text/Disabled	30573:16933
Controls	Checkbox/Radio item	State=Default			Text/Primary	30643:20637
Controls	Checkbox/Radio item	State=Hover			Text/Link	30643:20637
Controls	Checkbox/Radio item	State=Disabled			Text/Secondary	30643:20637
Controls	Checkbox/Radio item	State=Error			Text/Negative	30643:20637
Controls	Checkbox/Radio item	State=Selected			Text/Link	30643:20637
Controls	Checkbox/Radio list	State=Default			Text/Primary	30644:37303
Controls	Checkbox/Radio list	State=Disabled			Text/Primary	30644:37303
Controls	Checkbox/Radio list	State=Error			Text/Negative	30644:37303
Controls	Checkbox/Radio list	State=Selected			Text/Link	30644:37303
Controls	Control	Radio=No	Background/Primary	Icons/Icon - Disabled		30641:14910
Controls	Control	Radio=Yes	Background/Primary	Icons/Icon - Disabled		30641:14910
Controls	Image picker	Property 1=Default	Border/Form input			10306:112952
Controls	Document previewer	Device=Mobile		Border/Default	Text/Primary	27479:15917
Controls	Document previewer	Device=Tablet		Border/Default	Text/Primary	27479:15917
Controls	Document previewer	Device=Desktop		Border/Default	Text/Primary	27479:15917
Tables	Table header (AG)	Alignment=Left	Table/Header cell	Border/Default	Text/Primary	27719:2335
Tables	Table header (AG)	Alignment=Right	Table/Header cell	Border/Default	Text/Primary	27719:2335
Tables	Table header (AG)	Alignment=Checkbox	Table/Header cell			27719:2335
Tables	Table cell (AG)	Type=Default, Style=Default	Table/Primary cell	Border/Default	Text/Link	27719:3034
Tables	Table cell (AG)	Type=Default, Style=Stripe	Table/Stripe cell	Border/Default	Text/Link	27719:3034
Tables	Table cell (AG)	Type=Default, Style=Hover	Background/Theme	Border/Default		27719:3034
Tables	Table cell (AG)	Type=Checkbox, Style=Default	Table/Primary cell	Border/Default		27719:3034
Tables	Table cell (AG)	Type=Checkbox, Style=Stripe	Table/Stripe cell	Border/Default		27719:3034
Tables	Table cell (AG)	Type=Checkbox, Style=Hover	Background/Theme	Border/Default		27719:3034
Tables	Table (AG)	Mobile=False		Table/Border	Text/Primary	27737:49017
Tables	Table card (AG)	Mobile=False	Table/Card		Text/Theme	27744:18741
Tables	Footer (AG)	Mobile=False	Table/Card		Text/Primary	27725:51239
Tables	Multi-select checkbox	State=Default	Background/Primary	Icons/Icon - Disabled		9040:87456
Tables	Multi-select checkbox	State=Hover	Background/Theme	Icons/Icon - Theme		9040:87456
Tables	Multi-select checkbox	State=Selected	Icons/Icon - Theme			9040:87456
Tables	Multi-select checkbox	State=Mixed selection	Icons/Icon - Theme			9040:87456
Tables	Table header icons	Variant=Sort, State=Default				30772:33402
Tables	Table header icons	Variant=Sort, State=Ascending	Background/Theme	Icons/Icon - Theme		30772:33402
Tables	Table header icons	Variant=Sort, State=Descending	Background/Theme	Icons/Icon - Theme		30772:33402
Tables	Table header icons	Variant=Filter, State=Filtered	Background/Theme	Icons/Icon - Theme		30772:33402
Tables	Table header icons	Variant=Context menu, State=Active	Background/Theme	Icons/Icon - Theme		30772:33402
Tables	AG sort item	State=Default			Text/Primary	30792:46426
Tables	AG sort item	State=Hover	Background/Theme		Text/Primary	30792:46426
Tables	AG sort item	State=Active	Background/Theme		Text/Primary	30792:46426
Tables	AG Filter menus	Variant=Multi & search	Filter menu/Background	Filter menu/Border	Text/Disabled	30782:46404
Tables	AG Filter menus	Variant=Date	Filter menu/Background	Filter menu/Border	Text/Primary	30782:46404
Tables	AG Filter menus	Variant=Sort	Filter menu/Background	Filter menu/Border	Text/Primary	30782:46404
Tables	Selected action banner	Mobile=False	Background/Tertiary		Text/Primary	23862:16596
Tables	Manage columns	Mobile=False	Background/Primary		Text/Primary	20798:19026
Tables	Table action bar	Mobile=False			Text/Theme	27742:15071
Tags and ratings	Tags	Type=Neutral	Tags/Fills/Neutral	Tags/Borders/Neutral	Tags/Content/Neutral	18415:5426
Tags and ratings	Tags	Type=Positive	Tags/Fills/Positive	Tags/Borders/Positive	Tags/Content/Positive	18415:5426
Tags and ratings	Tags	Type=Negative	Tags/Fills/Negative	Tags/Borders/Negative	Tags/Content/Negative	18415:5426
Tags and ratings	Tags	Type=Warning	Tags/Fills/Warning	Tags/Borders/Warning	Tags/Content/Warning	18415:5426
Tags and ratings	Tags	Type=Expired	Tags/Fills/Expired	Tags/Borders/Expired	Tags/Content/Expired	18415:5426
Tags and ratings	Tags	Type=Other	Tags/Fills/Other	Tags/Borders/Other	Tags/Content/Other	18415:5426
Tags and ratings	Tags	Type=Theme	Tags/Fills/Info	Tags/Borders/Info	Tags/Borders/Info	18415:5426
Tags and ratings	Star rating	Rating=0..5, State=Default			Text/Primary	30806:31238
Tags and ratings	Star rating	Rating=0..5, State=Hover			Text/Primary	30806:31238
Tags and ratings	Empty section	Mobile=False			Text/Theme	19552:92722
System messages	Toast message	Message type=Success	Base colours/White		Base colours/Grey Slate	8213:79219
System messages	Toast message	Message type=Info	Base colours/White		Base colours/Grey Slate	8213:79219
System messages	Toast message	Message type=Warning	Base colours/White		Base colours/Grey Slate	8213:79219
System messages	Toast message	Message type=Error	Base colours/White		Base colours/Grey Slate	8213:79219
