component	variant	w	h	padding	radius	gap	fontSize	fontStyle
50/50 layout container	Row colour=false, Mobile=false	1600	368	0 0 0 0	0	0	20	
50/50 layout container	Row colour=false, Mobile=true	355	774	0 0 0 0	0	0	18	
AG Filter menus	Variant=Date, State=Default	477	260	20 20 20 20	4	30	16	
AG Filter menus	Variant=Multi & search, State=Default	208	252	16 16 16 16	4	20	12	
AG Filter menus	Variant=Sort, State=Default	208	176	10 0 10 0	4	0	13	
AG field	State=Selected	140	43	2 4 2 4	8	10	12	
AG field	State=Unselected	140	36	10 4 10 8	4	6	12	
AG sort item	State=Default	199	52	16 20 16 20	0	20	13	
AI Assistant	Mobile=False, Darkmode=False, Type=Default	520	1080	0 0 0 0	0	0	24	SemiBold
AI Assistant	Mobile=False, Darkmode=False, Type=Expanded	1628	1080	0 0 0 0	0	0	20	
AI Assistant	Mobile=True, Darkmode=False, Type=Default	375	770	0 0 0 0	15 15 0 0	0	24	SemiBold
AI Assistant	Mobile=True, Darkmode=False, Type=Expanded	376	770	0 0 0 0	15 15 0 0	0	16	
AI Gradient component	Property 1=Frame 62710147	408	408	0 0 0 0	0	0	24	SemiBold
AI banner	Darkmode=False, mobile=True	385	159	15 15 15 15	8	20	20	
AI banner	Darkmode=True, mobile=False	1315	94	20 20 20 20	8	10	20	
AI button	Style=Inverted, Hover=False, Mobile=False	146	32	3 15 3 10	55	10	13	
AI button	Style=Light mode, Hover=False, Mobile=False	146	32	3 15 3 10	55	10	13	Regular
AI button	Style=Light mode, Hover=False, Mobile=True	32	32	3 6 3 6	55	10		
AI card modal	Property 1=Default	440	505	20 20 20 20	8	10	20	
AI message bubble	Type=AI chat	455	149	0 0 0 0	0	5	12	
AI message bubble	Type=User chat	328	62	0 0 0 0	0	4	12	
Accordion	Expanded=False, Mobile=False	1200	84	20 20 20 20	8	689	20	
Accordion	Expanded=False, Mobile=True	355	56	10 10 10 10	8	689	18	
Accordion	Expanded=True, Mobile=False	1200	428	0 0 0 0	8	0	20	
Accordion	Expanded=True, Mobile=True	355	428	0 0 0 0	8	0	18	
Action menu		199	136	4 5 4 5	4	0	13	
Action menu button	Circle=false	60	28	0 0 0 0	0	0	16	
Action menu button	Circle=true	65	28	0 0 0 0	0	5	16	
Adaptive card	Mobile=False	478	389	0 0 0 0	0	5	12	
Adaptive card	Mobile=True	355	374	0 0 0 0	0	5	12	
Add attachment	Property 1=Default	440	466	0 0 0 0	0	20	13	SemiBold
Attachment with person	Property 1=Default	440	112	0 0 0 0	8	0	13	
Attachments	Actions=Remove	440	56	0 0 0 0	0	0	13	SemiBold
Bar	Label=Horizontal	29	90	0 0 0 0	0	5	13	
Bar	Label=Vertical	29	137	0 0 0 0	0	10	13	
Bar chart	Breakpoint=Desktop, Darkmode=False	415	193	0 0 0 0	0	10	13	
Bar chart	Breakpoint=Mobile, Darkmode=False	283	222	0 0 0 0	0	5	13	
Bar chart with axis	Breakpoint=Desktop, Darkmode=False	492	250	0 0 0 0	0	0	13	
Bar chart with axis	Breakpoint=Mobile, Darkmode=False	326	221	0 0 0 0	0	0	13	Regular
Browser drop down		440	222	5 5 5 5	8	5	16	
Button	Type=Action, State=Default, Label=No	32	32	0 20 0 20	20	10		
Button	Type=Action, State=Default, Label=Yes	107	32	0 20 0 20	20	10	13	SemiBold
Button	Type=Filter, State=Default, Label=No	32	32	0 8 0 8	20	5		
