Base colours/Blue Charade	#2c313c
Base colours/Blue Dusk	#4e6998
Base colours/Blue Iceberg	#d3eef7
Base colours/Blue Marine	#2e3548
Base colours/Blue Navy	#38578b
Base colours/Blue Ocean	#0075be
Base colours/Blue Orient	#00588b
Base colours/Blue Oxford	#3d4a5c
Base colours/Blue Shark	#1d1f27
Base colours/Blue Sky	#33b5e5
Base colours/Blue Sky New	#e1f5fb
Base colours/Blue Turquoise	#5cc4ea
Base colours/Bronze Gin Fizz	#fff4e5
Base colours/Brown Gold	#8f6d19
Base colours/Copper	#b05e00
Base colours/Default Pink	#cd2359
Base colours/Green	#517a38
Base colours/Green Leaf	#00ad60
Base colours/Green Mint	#53bda7
Base colours/Green Panache	#e5f4e7
Base colours/Grey	#868686
Base colours/Grey Dolphin	#c1c1c1
Base colours/Grey Fog	#656565
Base colours/Grey Slate	#3e3e3e
Base colours/Grey Steel	#e5e5e5
Base colours/Grey boulder	#777777
Base colours/Light Ivory	#fafafa
Base colours/Light Purple	#9e5bba
Base colours/Negative Hover	#a41c22
Base colours/Orange	#fc8700
Base colours/Pale Pink Theme	#fcf4f7
Base colours/Pineapple	#ddcb3f
Base colours/Pink Candy	#f06292
Base colours/Positive Hover	#43652e
Base colours/Red	#be2028
Base colours/Red Lavender Blush	#ffebef
Base colours/Red Sanguine Brown	#7c3030
Base colours/Vivid Tangerine	#ff8080
Base colours/White	#ffffff
Base colours/White Ivory	#f2f2f2
Base colours/White Lilac	#f0f2f6
Theme/Blue Lagoon	#00588e
Theme/Cobalt Blue	#2065af
Theme/Fern Green	#306348
Theme/Orange Flame	#c73b28
Theme/Pink Berry	#9e326c
Theme/Purple Iris	#804184
Theme/Purple Orchid	#b0187d
Theme/Royal Purple	#583069
Theme/Striking Red	#dc2937
Theme/Teal Ocean	#325759
Theme/Velvet Red	#a70000
